Using device: mps
Using device: mps

=== Training SAC on HalfCheetah-v5 (seed=0) ===
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 214: Reward = 954.66
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 215: Reward = 978.16
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 216: Reward = 886.29
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 217: Reward = 959.87
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 218: Reward = 964.27
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 219: Reward = 990.69
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 220: Reward = 967.80
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 221: Reward = 979.68
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 222: Reward = 952.71
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 223: Reward = 952.96
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 224: Reward = 933.73
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 225: Reward = 960.75
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 226: Reward = 1014.68
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 227: Reward = 933.98
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 228: Reward = 942.21
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 229: Reward = 1019.52
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 230: Reward = 974.24
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 231: Reward = 1004.85
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 232: Reward = 1012.09
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 233: Reward = 1038.76
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 234: Reward = 975.74
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 235: Reward = 980.03
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 236: Reward = 985.34
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 237: Reward = 1063.63
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 238: Reward = 1033.20
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 239: Reward = 1028.74
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 240: Reward = 1018.80
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 241: Reward = 1082.95
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 242: Reward = 1004.46
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 243: Reward = 1099.77
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 244: Reward = 1088.56
